CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
179153;TRES;ENVASES;CARABANCHEL;1;
179154;TRES;ENVASES;CARABANCHEL;1;
179272;TRES;ENVASES;PUENTE DE VALLECAS;1;
179271;TRES;ENVASES;PUENTE DE VALLECAS;1;
179273;TRES;ENVASES;PUENTE DE VALLECAS;1;
179274;TRES;ENVASES;PUENTE DE VALLECAS;1;
179050;TRES;ENVASES;PUENTE DE VALLECAS;1;
178929;TRES;ENVASES;PUENTE DE VALLECAS;1;
179208;TRES;ENVASES;CARABANCHEL;1;
179275;TRES;ENVASES;PUENTE DE VALLECAS;1;
179051;TRES;ENVASES;PUENTE DE VALLECAS;1;
179276;TRES;ENVASES;PUENTE DE VALLECAS;1;
179277;TRES;ENVASES;PUENTE DE VALLECAS;1;
178930;TRES;ENVASES;PUENTE DE VALLECAS;1;
178955;TRES;ENVASES;PUENTE DE VALLECAS;1;
178974;TRES;ENVASES;PUENTE DE VALLECAS;1;
179105;TRES;ENVASES;PUENTE DE VALLECAS;1;
179077;TRES;ENVASES;CARABANCHEL;1;
178961;TRES;ENVASES;CARABANCHEL;1;
179245;TRES;ENVASES;USERA;1;
179164;TRES;ENVASES;PUENTE DE VALLECAS;1;
179278;TRES;ENVASES;PUENTE DE VALLECAS;1;
179246;TRES;ENVASES;CARABANCHEL;1;
179165;TRES;ENVASES;PUENTE DE VALLECAS;1;
179166;TRES;ENVASES;PUENTE DE VALLECAS;1;
178992;TRES;ENVASES;CARABANCHEL;1;
178922;TRES;ENVASES;CARABANCHEL;1;
178975;TRES;ENVASES;PUENTE DE VALLECAS;1;
179155;TRES;ENVASES;CARABANCHEL;1;
178993;TRES;ENVASES;CARABANCHEL;1;
179279;TRES;ENVASES;PUENTE DE VALLECAS;1;
179308;TRES;ENVASES;CARABANCHEL;1;
179309;TRES;ENVASES;CARABANCHEL;1;
179311;TRES;ENVASES;CARABANCHEL;1;
179052;TRES;ENVASES;PUENTE DE VALLECAS;1;
179159;TRES;ENVASES;PUENTE DE VALLECAS;1;
178994;TRES;ENVASES;CARABANCHEL;1;
179053;TRES;ENVASES;PUENTE DE VALLECAS;1;
179086;TRES;ENVASES;VILLAVERDE;1;
258212;TRES;ENVASES;CARABANCHEL;1;
179280;TRES;ENVASES;PUENTE DE VALLECAS;1;
179163;TRES;ENVASES;PUENTE DE VALLECAS;1;
178995;TRES;ENVASES;CARABANCHEL;1;
179032;TRES;ENVASES;VILLAVERDE;1;
179281;TRES;ENVASES;PUENTE DE VALLECAS;1;
179223;TRES;ENVASES;CARABANCHEL;1;
